Name,Places,Published,Regions
Brown Fur Seal,"Station Beach (https://www.notion.so/a126156f8dac45ea871e4257aa24dba0?pvs=21), Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Little Penguin,Station Beach (https://www.notion.so/a126156f8dac45ea871e4257aa24dba0?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Seahorse,"Station Beach (https://www.notion.so/a126156f8dac45ea871e4257aa24dba0?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Blenny,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Octopus,"Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Marine Angelfish,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Decorator Crab,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Frogfish,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Pipefish,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Goby,Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Grey Nurse Shark,"Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), Magic Point (https://www.notion.so/624b5d985eec43e18b02f47166597449?pvs=21)",No,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Crayfish,Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21),No,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
