Name,Country,Current Water Temp.,Related to Master places database (1) (Region)
Sydney,Australia,🌡 Coming soon,"Chowder Bay & Clifton Gardens (https://www.notion.so/043a3d8941c944dd858025c42b968ac9?pvs=21), Malabar Beach (https://www.notion.so/132cc30f03664c218cb9302cf731cff6?pvs=21), Cabbage Tree Bay Aquatic Reserve (https://www.notion.so/2a30255e021d42b688b67b97fa7906d6?pvs=21), The Monuments, Kurnell (https://www.notion.so/363073cc7a544612a65c45f9bcb81057?pvs=21), Little Bay Beach (https://www.notion.so/45796cea05ae46feb071e80965abc7a3?pvs=21), Freshwater Beach (https://www.notion.so/4fd3085121c745c79d3bef2732921b21?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/6ad5553d1bed4bf2b171ab69df5aeb18?pvs=21), Shelly Beach (https://www.notion.so/6c245d0c03a84fefaffd02472ce5b83e?pvs=21), Clovelly Beach (https://www.notion.so/7805b267be3d43b09314b175e4330568?pvs=21), Station Beach (https://www.notion.so/7d3d11160bea4a9db1d543a4777ae45f?pvs=21), Bare Island (https://www.notion.so/919d55f6d2d647288f2b417e44105a5c?pvs=21), Fairlight Beach (https://www.notion.so/94b697bca1d94ef9a78077949d37ce6e?pvs=21), Magic Point (https://www.notion.so/9915c9e82c68476db17352c9a78250f7?pvs=21), Oak Park (https://www.notion.so/b786d88074c24344bfc834591f7d1868?pvs=21), The Basin Campground (https://www.notion.so/c15555e6dae64502b7c100deda62576f?pvs=21), Fisherman’s Beach (https://www.notion.so/f9f27a70a20a4b65a8446e804e31baec?pvs=21)"
Central Coast,Australia,🌡 Coming soon,"Lobster Beach (https://www.notion.so/42b7179aa2264eb7baaa73f788efd492?pvs=21), Catherine Hill Bay Pier (https://www.notion.so/7cb559d9f4fd42499ddb71b61cbbb0fe?pvs=21), Putty Beach (https://www.notion.so/8c25341d5ff044bebb51f4a2449d555c?pvs=21), Maitland Bay in Bouddi National Park (https://www.notion.so/e81a5034756149e2bcba3217efa16c11?pvs=21), Spoon Bay (https://www.notion.so/e884aab90d274fc9b764b69a0da8c2f9?pvs=21), Toowoon Bay Beach (https://www.notion.so/fd06999504f4473dbd28436b0f39f949?pvs=21)"
